MODEL,LOT,SIZE,BAL
UN640B,5S036V-1/2,392,176
UN638B,VC4665,3000,2780
UT415Z,VA7057,2400,978
UT656B,VE6222-1/2,2200,1000
UN651Z,VC4678,1000,1000
UN639B,VC4671,1000,1000
UN639B,VC4682,700,700
UN634B,VC4681,1500,1500
UN634B,VC4683,1500,1500
UT661Z,VE6234,1000,1000
UT432A,VA7077,4900,4900
UT417Z,VA7088,500,500
UT639Z,VW4162,500,500
UT664Z,VE6225,600,600
UT664Z,VE6229,600,600
UT656C,VE6230,3000,3000
UT651Z,VW4161,700,700
UT432Z,VA7100,1500,1500
UT432A,VA7099,3500,3500
UT987A,VW4160,2000,2000
UT401Z,VA7102,2500,2500
UT447Z,VA7087,1800,1800
UN636B,VW8345,700,700
UT647D,VW8339,700,700
UT647D,VW8344,700,700
UT664Z,VE6235,1000,1000
UT432A,VA7110,5300,5300
UT432Z,VA7115,3400,3400
UN638B,VC4686,3500,3500
UN639B,VC4687,3000,3000
UN651Z,VC4688,800,800
UN647E,VC4689,1500,1500
UU206Z,VC4690,1000,1000
UT656B,VE6242,3500,3500
UT651Z,VW4156-1/3,500,100
UT658C,VE6227,800,476
UT651Z,VW4156-2/3,500,315
UT651Z,VW4157,500,500
UT649Z,VW4152,500,146
UT649Z,VW4158,630,630
UB367E,VD6807,1000,1000
UT656B,VE6222-2/2,2200,1200
UT432A,VA7068,5000,584
UU913B,VC4677,100,100
UU915E,VC4679,100,100
UU711Z,VA7101,36,36
UU037Z,VA7111,300,300
UT659Z,VE6233,1000,1000
UG602R,VO3225,100,100
UG601R,VO3226,100,100
UG601S,VO3227,100,100
UG599R,VO3228,100,100
UG600R,VO3229,100,100
UG604R,VO3230,100,100
UB384Z,VD6771,1000,1000
UU712Z,VA7106,300,300
UU711Z,VA7107,300,300
UB370A,VD6812,6000,6000
UB370A,VD6823,4000,4000
UB385A,VD6835,1200,1200
UN634B,VC4684,1500,1500
UN647E,VC4685,700,700
UG602R,VO3231,100,100
UG601R,VO3232,100,100
UG604R,VO3233,100,100
UT434Z,VA7098,1000,1000
UT407A,VA7097,2000,2000
UB374E,VD6831,300,300
UB372G,VD6830,300,300
UB383Z,VD6825,2000,2000
UB383Z,VD6834,700,700
UU029Z,VA7112,1000,1000
UU030Z,VA7113,1000,1000
UT432A,VA7103,8300,8300
UG600R,VO3234,100,100
UG603R,VO3235,100,100
UG604R,VO3236,200,200
UT447Z,VA7109,2300,2300
UT661Z,VE6258,700,700
UT563Z,VA7108,700,700
UU711Z,VA7116,300,300
UU206Z,VC4691,1000,1000
UT422A,VA7076,500,500
UT435Z,VA7070,1600,1600
UT656C,VE6226-1/2,3200,2080
UB383Z,VD6784,1000,1000
UB383Z,VD6795,900,900
UB384Z,5R811V,94,94
UB378A,VD6793,1000,1000
UU029Z,VA7083,2000,1904
UB367F,VD6828,300,300
UB374E,VD6829,300,300
UB361A,VD6804,1000,1000
UU713Z,VD6799,300,300
UB383Z,VD6817,800,800
UB371B,VD6808,2200,2200
UB385A,VD6819,700,700
UB367E,VD6820,1000,1000
UB379B,VD6822,800,800
UB361A,VD6827,1800,1800
UB371B,VD6821,4000,4000
UB377B,VD6810,700,700
UB388Z,VD6809,1500,1500
UU713Z,VA7094,300,300
UT563Z,VA7096,1000,1000
UT401Z,VA7093,5000,5000
UB367E,VD6833,1000,1000
UB379B,VD6826,700,700
UU711Z,VA7114,400,400
UB391Z,VD6796,115,115
UB361A,VD6837,300,300
UB361A,VD6838,300,300
UB372G,VD6836,300,300
UT432Z,VA7104,1900,1900
UT416A,VA7079,700,700
UT658C,VE6231,500,500
UB367E,VD6841,1100,1100
UB378A,VD6842,700,700
UB391Z,VD6797,1900,1900
UB391Z,VD6818,2000,2000
UB383Z,VD6839,1000,1000
UB384Z,VD6840,1000,1000
UB383B,VW4163,100,100
UT651Z,VW4164,700,700
UT987A,VW4165,1000,1000
UT661Z,VE6259,2400,2400
UT639Z,VW4166,1000,1000
UT651Z,VW4167,500,500
UT651Z,VW4149,500,28
UB383B,VW4155,100,16
UB378A,VD6783,1000,160
UU711Z,VA7095,500,176
UT563Z,5R809V-1/2,50,1
UT401Z,5R819V,52,2
UT407A,5R807V,107,107
UB370A,5R808V,256,256
UB383Z,5R812V,165,165
UT415Z,5R813V,58,58
UB371B,5R815V,81,81
UB379B,5R816V,82,82
UB376C,5R817V,54,54
UB377B,5R818V,98,98
UB389Z,5R820V,58,58
UT656B,5R822V,49,49
UT432A,5R810V,69,69
UT662E,5B171V,25,25
UT987A,5B172V,100,100
UT416A,5R821V,55,55
UT962Z,5B168V,200,200
UT991Z,5B169V,400,400
UT989Z,5B170V,100,100
UB367G,FC2503-0001,300,300
UU030Z,FC2410-0088,500,200
UU024Z,FC2411-0066,300,100
UU712Z,FC2502-0045,100,100
UB383D,FC2411-0023,200,200
UB374E,FC2410-0012,500,442
UB389A,FC2503-0022,300,150
UU024Z,FC2411-0067,300,300
UB374E,FC2411-0016,500,500
UB389A,FC2503-0023,300,300
UB374E,FC2412-0019,500,500
UB374D,FC2503-0006,300,300
UB370A,FC2411-0012,2500,1250
UU028Z,FC2408-0074,400,400
UU030Z,FC2410-0089,500,500
UU024Z,FC2412-0080,200,200
UU712Z,FC2502-0046,200,200
UU711Z,FC2502-0042,200,120
UT447Z,FC2501-0047,900,800
UT407A,FC2412-0042,1300,200
UB384B,FC2501-0016,100,100
UB374E,FC2412-0018,300,300
UB367F,FC2412-0005,200,200
UB388A,FC2503-0020,300,300
UU024Z,FC2412-0081,300,300
UB384B,FC2501-0017,300,300
UB374E,FC2501-0008,400,400
UB367F,FC2502-0002,200,200
UT661Z,FC2412-0074,400,100
UB370A,FC2412-0007,700,700
UU028Z,FC2409-0031,100,100
UU030Z,FC2411-0074,500,500
UB367E,FC2411-0008,800,600
UU024Z,FC2412-0082,400,100
UU025Z,FC2307-0158,400,100
UU029Z,FC2502-0033,200,184
UU037Z,FC2505-0062,100,100
UU033Z,FC2404-0081,100,100
UU713Z,FC2501-0072,200,100
UU710Z,FC2401-0092,100,50
UU712Z,FC2502-0047,100,100
UU711Z,FC2502-0043,100,100
UB383Z,FC2502-0018,700,400
UB380B,FC2505-0024,300,300
UB389A,FC2505-0032,200,200
UT661Z,FC2412-0075,500,500
UB370A,FC2501-0003,1400,1400
UU025Z,FC2307-0159,400,100
UU711Z,FC2503-0050,100,100
UB370A,FC2501-0004,2600,100
UU028Z,FC2410-0082,100,100
UU030Z,FC2412-0094,400,400
UB367E,FC2412-0002,200,200
UB371B,FC2412-0009,1300,500
UU024Z,FC2503-0040,300,300
UU025Z,FC2309-0081,200,200
UU029Z,FC2502-0034,400,400
UU033Z,FC2411-0075,100,100
UB379B,FC2501-0013,100,80
UB378A,FC2408-0016,400,30
UU713Z,FC2502-0051,100,100
UU710Z,FC2407-0072,100,100
UT563Z,FC2411-0057,600,300
UU712Z,FC2502-0048,200,200
UU711Z,FC2504-0069,100,100
UT447Z,FC2501-0048,700,700
UT407A,FC2412-0044,1400,1400
UT434Z,FC2503-0033,200,200
UT401Z,FC2412-0040,1700,550
UT432A,FC2501-0032,1800,1600
UT432Z,FC2503-0032,1200,600
UB383Z,FC2503-0010,500,500
UB383D,FC2504-0017,200,200
UB384Z,FC2503-0015,400,100
UB374E,FC2502-0010,500,400
UB388A,FC2505-0029,300,300
UT656B,FC2504-0051,500,500
UB370A,FC2504-0003,300,300
UU028Z,FC2410-0083,400,400
UB367E,FC2412-0003,900,900
UB371B,FC2501-0006,500,500
UU025Z,FC2310-0497,100,100
UT563Z,FC2412-0071,600,500
UU712Z,FC2502-0049,100,100
UU206Z,FC2502-0063,1000,1000
UT417Z,FC2411-0037,200,150
UU711Z,FC2504-0071,200,200
UT447Z,FC2501-0049,600,600
UT407A,FC2412-0045,1400,1400
UT434Z,FC2503-0034,400,400
UT401Z,FC2502-0023,1700,1700
UT432A,FC2501-0033,3800,3000
UT432Z,FC2504-0042,1300,1300
UB384Z,FC2503-0017,400,400
UB385A,FC2501-0019,500,300
UB374E,FC2504-0009,400,400
UB367F,FC2505-0004,100,100
UU921A,FC2409-0034,100,100
UT661Z,FC2504-0059,200,200
UB371B,FC2502-0006,1200,1200
UG600R,FC2406-0082,300,300
UG600S,FC2409-0038,100,100
UG599R,FC2312-0036,100,100
UG601R,FC2408-0084,100,100
UG601S,FC2404-0090,100,100
UG602R,FC2411-0092,100,100
UG603R,FC2411-0093,100,100
UG604R,FC2411-0094,100,100
UG599R,FC2311-0134,100,100
UT407A,FC2412-0043,1400,1400
UG600R,FC2407-0095,200,200
UG600S,FC2409-0039,100,100
UG601R,FC2408-0085,100,100
UG601S,FC2402-0205,100,100
UG602R,FC2505-0071,100,100
UG603R,FC2412-0102,100,100
UG604R,FC2412-0101,100,100
UT666B,FC2405-0079,100,100
UG599R,FC2402-0203,100,100
UT665A,FC2303-0035,500,500
UU915E,FC2503-0062,100,100
UG600R,FC2408-0088,200,200
UG600S,FC2411-0088,100,100
UG599R,FC2405-0078,100,100
UG601R,FC2411-0091,100,100
UG601S,FC2407-0093,100,100
UG602R,FC2505-0072,100,100
UT666B,FC2405-0080,100,100
UT662G,FC2303-0036,500,500
UU921B,FC2303-0037,500,500
UT987A,FC2503-0065,2000,2000
UB379B,FC2501-0014,300,300
UB378A,FC2408-0017,500,400
UU713Z,FC2502-0052,200,200
UT563Z,FC2412-0070,300,300
UU711Z,FC2504-0070,200,200
UT401Z,FC2501-0027,400,400
UT432Z,FC2504-0040,200,200
UB383Z,FC2503-0011,800,800
UB384Z,FC2503-0016,400,400
UB370A,FC2505-0006,1800,1800
UT401Z,FC2502-0022,1300,1300
UT432Z,FC2504-0041,1300,1300
UT661Z,FC2412-0076,500,100
UB370A,FC2505-0007,2300,2300
UU028Z,FC2411-0070,100,100
UU030Z,FC2502-0036,300,300
UB367E,FC2501-0001,400,400
UB371B,FC2502-0005,400,400
UU024Z,FC2503-0041,300,300
UU025Z,FC2310-0498,400,400
UU029Z,FC2502-0035,200,200
UU026Z,FC2406-0071,100,50
UB379B,FC2502-0012,300,300
UB378A,FC2503-0007,100,100
UT399Z,FC2405-0043,2700,900
UG600R,FC2408-0089,200,200
UG599R,FC2407-0094,100,100
UG603R,FC2503-0055,100,100
UG604R,FC2503-0057,100,100
UT666B,FC2405-0081,100,100
UT656B,FC2504-0052,900,900
UU029Z,FC2503-0045,300,300
UU026Z,FC2410-0081,200,200
UB378A,FC2503-0008,300,300
UT434Z,FC2503-0035,400,400
UT661Z,FC2504-0060,400,400
UN634B,FC2411-0083,3000,3000
UU713Z,VD6786,700,280
UT651Z,VW4156-3/3,500,85
UT413Z,VW8340,700,4
UU030Z,VA7069,2000,1460
UT563Z,VA7071,1200,536
UT656C,VE6226-2/2,3200,100
UT563Z,5R809V-2/2,50,49
UN640B,5S034V,484,76
UN640B,5S036V-2/2,392,216
UU026Z,VA7105,500,380
